payment_type,actual_shipping_days,scheduled_shipping_days,benefit_per_order,sales_per_customer,delivery_status,late_delivery_risk,category_id,category_name,customer_segment,department_name,market,order_city,order_country,order_date,order_id,order_item_discount,order_item_discount_rate,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total,order_profit_per_order,order_region,order_state,order_status,product_category_id,product_name,product_price,shipping_date,shipping_mode,order_month,shipping_variance_days,profit_margin_pct,is_late
TRANSFER,2,4,71.84999847,197.9199982,Advance shipping,0,46,Indoor/Outdoor Games,Consumer,Fan Shop,USCA,Charlottesville,Estados Unidos,2016-04-29 11:56:00,33191,2.0,0.01,49.97999954,0.360000014,4,199.9199982,197.9199982,71.84999847,South of  USA ,Virginia,PROCESSING,46,O'Brien Men's Neoprene Life Vest,49.97999954,2016-05-01 11:56:00,Standard Class,2016-04,-2,36.30254604054458,0
PAYMENT,5,4,57.52999878,164.3800049,Late delivery,1,67,DVDs,Home Office,Discs Shop,Europe,Freiburg,Alemania,2017-11-09 16:56:00,71499,0.0,0.0,164.3800049,0.349999994,1,164.3800049,164.3800049,57.52999878,Western Europe,Baden-Wurtemberg,PENDING_PAYMENT,67,DVDs ,164.3800049,2017-11-14 16:56:00,Standard Class,2017-11,1,34.99817317501491,1
DEBIT,5,4,22.68000031,226.7599945,Late delivery,1,17,Cleats,Consumer,Apparel,Pacific Asia,Siirt,Turquía,2016-10-26 02:13:00,45494,13.19999981,0.059999999,59.99000168,0.100000001,4,239.9600067,226.7599945,22.68000031,West Asia,Siirt,COMPLETE,17,Perfect Fitness Perfect Rip Deck,59.99000168,2016-10-31 02:13:00,Standard Class,2016-10,1,10.001764358836231,1
PAYMENT,6,4,-3.019999981,103.9899979,Late delivery,1,18,Men's Footwear,Consumer,Apparel,LATAM,Lima,Perú,2015-02-21 00:06:00,3495,26.0,0.200000003,129.9900055,-0.029999999,1,129.9900055,103.9899979,-3.019999981,South America,Lima (ciudad),PENDING_PAYMENT,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,2015-02-27 00:06:00,Standard Class,2015-02,2,-2.9041254370484024,1
TRANSFER,2,4,11.76000023,37.56000137,Advance shipping,0,75,Video Games,Consumer,Discs Shop,Pacific Asia,Zhengzhou,China,2018-01-17 13:30:00,76216,2.190000057,0.059999999,39.75,0.310000002,1,39.75,37.56000137,11.76000023,Eastern Asia,Henan,PENDING,75,Fighting video games,39.75,2018-01-19 13:30:00,Standard Class,2018-01,-2,31.309903623680295,0
DEBIT,4,4,-66.8199997,296.980011,Shipping on time,0,43,Camping & Hiking,Consumer,Fan Shop,USCA,Richmond,Estados Unidos,2016-07-20 13:34:00,38813,3.0,0.01,299.980011,-0.230000004,1,299.980011,296.980011,-66.8199997,South of  USA ,Kentucky,COMPLETE,43,Diamondback Women's Serene Classic Comfort Bi,299.980011,2016-07-24 13:34:00,Standard Class,2016-07,0,-22.499830704094087,0
PAYMENT,3,4,84.5,249.9900055,Advance shipping,0,41,Trade-In,Consumer,Outdoors,Europe,Berlín,Alemania,2017-08-21 16:20:00,66017,0.0,0.0,249.9900055,0.340000004,1,249.9900055,249.9900055,84.5,Western Europe,Berlín,PENDING_PAYMENT,41,Garmin Approach S3 Golf GPS Watch,249.9900055,2017-08-24 16:20:00,Standard Class,2017-08,-1,33.80135131042269,0
DEBIT,5,4,-88.79000092,106.5899963,Late delivery,1,18,Men's Footwear,Consumer,Apparel,Europe,Fontenay-aux-Roses,Francia,2015-06-03 21:40:00,10544,23.39999962,0.180000007,129.9900055,-0.829999983,1,129.9900055,106.5899963,-88.79000092,Western Europe,Isla de Francia,COMPLETE,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,2015-06-08 21:40:00,Standard Class,2015-06,1,-83.30050098707058,1
PAYMENT,4,4,29.22999954,100.7900009,Shipping on time,0,32,Golf Apparel,Home Office,Outdoors,Europe,Limoges,Francia,2017-07-25 09:33:00,64148,19.20000076,0.159999996,119.9899979,0.289999992,1,119.9899979,100.7900009,29.22999954,Western Europe,Aquitania-Lemosín-Poitou-Charentes,PENDING_PAYMENT,32,Cleveland Golf Women's 588 RTX CB Satin Chrom,119.9899979,2017-07-29 09:33:00,Standard Class,2017-07,0,29.00089223037203,0
PAYMENT,2,1,5.940000057,59.38999939,Late delivery,1,17,Cleats,Consumer,Apparel,LATAM,Choloma,Honduras,2015-04-29 07:11:00,8105,0.600000024,0.01,59.99000168,0.100000001,1,59.99000168,59.38999939,5.940000057,Central America,Cortés,PENDING_PAYMENT,17,Perfect Fitness Perfect Rip Deck,59.99000168,2015-05-01 07:11:00,First Class,2015-04,1,10.001683983852958,1
