order_month,order_lines,unique_orders,total_sales,total_order_value,total_profit,avg_shipping_days,late_delivery_rate,average_order_line_value,profit_margin_pct
2015-02,1,1,129.9900055,103.9899979,-3.019999981,6.0,1.0,103.9899979,-2.9041254370484024
2015-04,1,1,59.99000168,59.38999939,5.940000057,2.0,1.0,59.38999939,10.001683983852958
2015-06,2,2,329.980011,302.5800018,7.25,2.5,0.5,151.2900009,2.3960605317175325
2015-10,1,1,299.980011,263.980011,-59.40000153,4.0,0.0,263.980011,-22.501704316543876
2016-02,1,1,299.9500122,299.9500122,35.99000168,6.0,1.0,299.9500122,11.998666516473639
2016-04,1,1,199.9199982,197.9199982,71.84999847,2.0,0.0,197.9199982,36.30254604054458
2016-07,2,2,429.9700165,410.0700073,-18.189998629999998,4.5,0.5,205.03500365,-4.435827616305651
2016-09,1,1,499.9500122,472.4500122,35.43000031,6.0,1.0,472.4500122,7.49920613717787
2016-10,1,1,239.9600067,226.7599945,22.68000031,5.0,1.0,226.7599945,10.001764358836231
2016-11,1,1,199.9900055,159.9900055,60.0,5.0,1.0,159.9900055,37.50234260726993
2017-03,1,1,399.980011,327.980011,24.60000038,4.0,0.0,327.980011,7.50045720926572
2017-07,1,1,119.9899979,100.7900009,29.22999954,4.0,0.0,100.7900009,29.00089223037203
2017-08,1,1,249.9900055,249.9900055,84.5,3.0,0.0,249.9900055,33.80135131042269
2017-09,3,3,629.9700164999999,601.0700073,-557.1600074500001,2.3333333333333335,0.3333333333333333,200.3566691,-92.69469457522209
2017-11,1,1,164.3800049,164.3800049,57.52999878,5.0,1.0,164.3800049,34.99817317501491
2018-01,1,1,39.75,37.56000137,11.76000023,2.0,0.0,37.56000137,31.309903623680295
