file_name,field_name,definition,unit_or_type,source_class
01_dataco_operational_sample_20.csv,payment_type,Payment method/type used for order,categorical,DataCo
01_dataco_operational_sample_20.csv,actual_shipping_days,Actual shipping duration,days,DataCo
01_dataco_operational_sample_20.csv,scheduled_shipping_days,Scheduled shipping duration,days,DataCo
01_dataco_operational_sample_20.csv,benefit_per_order,Recorded profit/benefit per order line,source monetary unit,DataCo
01_dataco_operational_sample_20.csv,sales,Gross sales amount,source monetary unit,DataCo
01_dataco_operational_sample_20.csv,order_item_total,Net order item total after discount,source monetary unit,DataCo
01_dataco_operational_sample_20.csv,order_profit_per_order,Order-level profit measure,source monetary unit,DataCo
01_dataco_operational_sample_20.csv,late_delivery_risk,Original late-delivery indicator,0/1,DataCo
01_dataco_operational_sample_20.csv,shipping_variance_days,Actual minus scheduled shipping days,days,Derived
01_dataco_operational_sample_20.csv,profit_margin_pct,Order profit divided by order item total,percent,Derived
02_monthly_operational_summary_sample.csv,late_delivery_rate,Late rows divided by order lines for month,decimal,Derived
03_capexiq_project_assumptions.csv,data_classification,Historical/current/forecast/user/AI classification,categorical,Project governance
04_scenario_definitions.csv,investment_multiplier,Scenario multiplier applied to initial investment,multiplier,Project model
05_dewa_electricity_tariffs_july_2026.csv,base_tariff_aed_per_kwh,DEWA slab tariff before fuel surcharge and VAT,AED/kWh,DEWA
06_uae_corporate_tax_rates.csv,corporate_tax_rate,Applicable headline corporate tax rate by taxable-income band,decimal,UAE MoF
